category,product,fiscal_year,quantity,value,metric_type
Alkali Chemicals,Caustic Soda,201516,484133,116303,chemical_import
Alkali Chemicals,Caustic Soda,201617,425795,112391,chemical_import
Alkali Chemicals,Caustic Soda,201718,421298,153382,chemical_import
Alkali Chemicals,Caustic Soda,201819,208267,79927,chemical_import
Alkali Chemicals,Caustic Soda,201920,309345,87982,chemical_import
Alkali Chemicals,Caustic Soda,202021,248057,55495,chemical_import
Alkali Chemicals,Caustic Soda,202122,203275,77347,chemical_import
Alkali Chemicals,Caustic Soda,202223,135823,74227,chemical_import
Alkali Chemicals,Caustic Soda,202324,221353,77453,chemical_import
Alkali Chemicals,Caustic Soda,202425,152055,63674,chemical_import
Alkali Chemicals,Liquid Chlorine,201516,482,189,chemical_import
Alkali Chemicals,Liquid Chlorine,201617,35,170,chemical_import
Alkali Chemicals,Liquid Chlorine,201718,58,208,chemical_import
Alkali Chemicals,Liquid Chlorine,201819,266,696,chemical_import
Alkali Chemicals,Liquid Chlorine,201920,81,255,chemical_import
Alkali Chemicals,Liquid Chlorine,202021,39,200,chemical_import
Alkali Chemicals,Liquid Chlorine,202122,149,383,chemical_import
Alkali Chemicals,Liquid Chlorine,202223,64,412,chemical_import
Alkali Chemicals,Liquid Chlorine,202324,13,136,chemical_import
Alkali Chemicals,Liquid Chlorine,202425,2,16,chemical_import
Alkali Chemicals,Soda Ash,201516,633263,101707,chemical_import
Alkali Chemicals,Soda Ash,201617,695307,102490,chemical_import
Alkali Chemicals,Soda Ash,201718,772622,111757,chemical_import
Alkali Chemicals,Soda Ash,201819,840591,144900,chemical_import
Alkali Chemicals,Soda Ash,201920,847704,152515,chemical_import
Alkali Chemicals,Soda Ash,202021,719731,114804,chemical_import
Alkali Chemicals,Soda Ash,202122,563140,97002,chemical_import
Alkali Chemicals,Soda Ash,202223,577480,195359,chemical_import
Alkali Chemicals,Soda Ash,202324,1041138,251975,chemical_import
Alkali Chemicals,Soda Ash,202425,1024036,198020,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201516,312,1685,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201617,188,1348,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201718,248,1942,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201819,322,2639,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201920,133,1295,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202021,163,1073,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202122,125,1548,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202223,90,1582,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202324,123,1738,chemical_import
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202425,117,2048,chemical_import
Dyes and Pigments,Azo Dyes,201516,716,4016,chemical_import
Dyes and Pigments,Azo Dyes,201617,630,3509,chemical_import
Dyes and Pigments,Azo Dyes,201718,514,3734,chemical_import
Dyes and Pigments,Azo Dyes,201819,437,4207,chemical_import
Dyes and Pigments,Azo Dyes,201920,306,4096,chemical_import
Dyes and Pigments,Azo Dyes,202021,298,3880,chemical_import
Dyes and Pigments,Azo Dyes,202122,408,4775,chemical_import
Dyes and Pigments,Azo Dyes,202223,323,5548,chemical_import
Dyes and Pigments,Azo Dyes,202324,321,8211,chemical_import
Dyes and Pigments,Azo Dyes,202425,410,7040,chemical_import
Dyes and Pigments,Basic Dyes,201516,475,4135,chemical_import
Dyes and Pigments,Basic Dyes,201617,560,4183,chemical_import
Dyes and Pigments,Basic Dyes,201718,647,5445,chemical_import
Dyes and Pigments,Basic Dyes,201819,487,6868,chemical_import
Dyes and Pigments,Basic Dyes,201920,529,8213,chemical_import
Dyes and Pigments,Basic Dyes,202021,735,9836,chemical_import
Dyes and Pigments,Basic Dyes,202122,636,8916,chemical_import
Dyes and Pigments,Basic Dyes,202223,399,5824,chemical_import
Dyes and Pigments,Basic Dyes,202324,305,3925,chemical_import
Dyes and Pigments,Basic Dyes,202425,293,4702,chemical_import
Dyes and Pigments,Disperse Dyes,201516,6199,28647,chemical_import
Dyes and Pigments,Disperse Dyes,201617,4970,23618,chemical_import
Dyes and Pigments,Disperse Dyes,201718,4051,23972,chemical_import
Dyes and Pigments,Disperse Dyes,201819,1731,19295,chemical_import
Dyes and Pigments,Disperse Dyes,201920,2322,23128,chemical_import
Dyes and Pigments,Disperse Dyes,202021,2314,20496,chemical_import
Dyes and Pigments,Disperse Dyes,202122,2266,20665,chemical_import
Dyes and Pigments,Disperse Dyes,202223,2264,19214,chemical_import
Dyes and Pigments,Disperse Dyes,202324,1997,18367,chemical_import
Dyes and Pigments,Disperse Dyes,202425,1673,16753,chemical_import
Dyes and Pigments,Fast Colour Bases,201516,510,3058,chemical_import
Dyes and Pigments,Fast Colour Bases,201617,426,2314,chemical_import
Dyes and Pigments,Fast Colour Bases,201718,379,2113,chemical_import
Dyes and Pigments,Fast Colour Bases,201819,169,1743,chemical_import
Dyes and Pigments,Fast Colour Bases,201920,265,2149,chemical_import
Dyes and Pigments,Fast Colour Bases,202021,260,2414,chemical_import
Dyes and Pigments,Fast Colour Bases,202122,45,773,chemical_import
Dyes and Pigments,Fast Colour Bases,202223,253,1897,chemical_import
Dyes and Pigments,Fast Colour Bases,202324,156,1008,chemical_import
Dyes and Pigments,Fast Colour Bases,202425,239,1347,chemical_import
Dyes and Pigments,Food Colours,201516,1083,5225,chemical_import
Dyes and Pigments,Food Colours,201617,1041,4859,chemical_import
Dyes and Pigments,Food Colours,201718,1162,5057,chemical_import
Dyes and Pigments,Food Colours,201819,1364,6747,chemical_import
Dyes and Pigments,Food Colours,201920,1215,6695,chemical_import
Dyes and Pigments,Food Colours,202021,375,6268,chemical_import
Dyes and Pigments,Food Colours,202122,449,6638,chemical_import
Dyes and Pigments,Food Colours,202223,350,7628,chemical_import
Dyes and Pigments,Food Colours,202324,400,9456,chemical_import
Dyes and Pigments,Food Colours,202425,549,11356,chemical_import
Dyes and Pigments,Inorganic Pigments,201516,10514,28331,chemical_import
Dyes and Pigments,Inorganic Pigments,201617,9597,24784,chemical_import
Dyes and Pigments,Inorganic Pigments,201718,13128,30075,chemical_import
Dyes and Pigments,Inorganic Pigments,201819,12790,43319,chemical_import
Dyes and Pigments,Inorganic Pigments,201920,12173,57140,chemical_import
Dyes and Pigments,Inorganic Pigments,202021,12017,63057,chemical_import
Dyes and Pigments,Inorganic Pigments,202122,11430,53765,chemical_import
Dyes and Pigments,Inorganic Pigments,202223,10079,51574,chemical_import
Dyes and Pigments,Inorganic Pigments,202324,12857,50678,chemical_import
Dyes and Pigments,Inorganic Pigments,202425,14327,62857,chemical_import
Dyes and Pigments,Napthols,201516,1051,3824,chemical_import
Dyes and Pigments,Napthols,201617,1107,3750,chemical_import
Dyes and Pigments,Napthols,201718,1286,4446,chemical_import
Dyes and Pigments,Napthols,201819,1255,5267,chemical_import
Dyes and Pigments,Napthols,201920,1374,6559,chemical_import
Dyes and Pigments,Napthols,202021,1465,5757,chemical_import
Dyes and Pigments,Napthols,202122,1355,8239,chemical_import
Dyes and Pigments,Napthols,202223,1408,6248,chemical_import
Dyes and Pigments,Napthols,202324,2047,6843,chemical_import
Dyes and Pigments,Napthols,202425,1331,4864,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),201516,689,5967,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),201617,762,5446,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),201718,846,6414,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),201819,710,7812,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),201920,590,6250,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),202021,525,6140,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),202122,894,14411,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),202223,918,13174,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),202324,720,8745,chemical_import
Dyes and Pigments,Oil Soluble (Solvent Dyes),202425,814,11228,chemical_import
Dyes and Pigments,Optical Whitening Agents,201516,664,5376,chemical_import
Dyes and Pigments,Optical Whitening Agents,201617,612,5455,chemical_import
Dyes and Pigments,Optical Whitening Agents,201718,593,5540,chemical_import
Dyes and Pigments,Optical Whitening Agents,201819,565,6978,chemical_import
Dyes and Pigments,Optical Whitening Agents,201920,738,8746,chemical_import
Dyes and Pigments,Optical Whitening Agents,202021,588,6492,chemical_import
Dyes and Pigments,Optical Whitening Agents,202122,742,8961,chemical_import
Dyes and Pigments,Optical Whitening Agents,202223,556,7156,chemical_import
Dyes and Pigments,Optical Whitening Agents,202324,570,5446,chemical_import
Dyes and Pigments,Optical Whitening Agents,202425,484,5491,chemical_import
Dyes and Pigments,Organic Pigment,201516,190,889,chemical_import
Dyes and Pigments,Organic Pigment,201617,100,678,chemical_import
Dyes and Pigments,Organic Pigment,201718,65,271,chemical_import
Dyes and Pigments,Organic Pigment,201819,138,471,chemical_import
Dyes and Pigments,Organic Pigment,201920,98,272,chemical_import
Dyes and Pigments,Organic Pigment,202021,107,646,chemical_import
Dyes and Pigments,Organic Pigment,202122,93,444,chemical_import
Dyes and Pigments,Organic Pigment,202223,275,870,chemical_import
Dyes and Pigments,Organic Pigment,202324,181,1099,chemical_import
Dyes and Pigments,Organic Pigment,202425,615,1894,chemical_import
Dyes and Pigments,Other Dyes,201516,177,1531,chemical_import
Dyes and Pigments,Other Dyes,201617,183,1533,chemical_import
Dyes and Pigments,Other Dyes,201718,512,2239,chemical_import
Dyes and Pigments,Other Dyes,201819,2337,7151,chemical_import
Dyes and Pigments,Other Dyes,201920,2265,7188,chemical_import
Dyes and Pigments,Other Dyes,202021,2332,7239,chemical_import
Dyes and Pigments,Other Dyes,202122,2439,8260,chemical_import
Dyes and Pigments,Other Dyes,202223,2671,9706,chemical_import
Dyes and Pigments,Other Dyes,202324,2308,10164,chemical_import
Dyes and Pigments,Other Dyes,202425,1949,9788,chemical_import
Dyes and Pigments,Pigment Emulsion,201516,6578,47122,chemical_import
Dyes and Pigments,Pigment Emulsion,201617,7085,47759,chemical_import
Dyes and Pigments,Pigment Emulsion,201718,8261,52679,chemical_import
Dyes and Pigments,Pigment Emulsion,201819,7985,57272,chemical_import
Dyes and Pigments,Pigment Emulsion,201920,7303,54365,chemical_import
Dyes and Pigments,Pigment Emulsion,202021,6443,53389,chemical_import
Dyes and Pigments,Pigment Emulsion,202122,7080,65345,chemical_import
Dyes and Pigments,Pigment Emulsion,202223,7314,69850,chemical_import
Dyes and Pigments,Pigment Emulsion,202324,7519,71245,chemical_import
Dyes and Pigments,Pigment Emulsion,202425,9777,83097,chemical_import
Dyes and Pigments,Reactive Dyes,201516,3148,27009,chemical_import
Dyes and Pigments,Reactive Dyes,201617,3460,28744,chemical_import
Dyes and Pigments,Reactive Dyes,201718,3340,24642,chemical_import
Dyes and Pigments,Reactive Dyes,201819,3117,26440,chemical_import
Dyes and Pigments,Reactive Dyes,201920,3661,27931,chemical_import
Dyes and Pigments,Reactive Dyes,202021,2962,21959,chemical_import
Dyes and Pigments,Reactive Dyes,202122,3461,28663,chemical_import
Dyes and Pigments,Reactive Dyes,202223,2819,22464,chemical_import
Dyes and Pigments,Reactive Dyes,202324,3335,26109,chemical_import
Dyes and Pigments,Reactive Dyes,202425,4003,31038,chemical_import
Dyes and Pigments,Solubilised Vat Dyes,201516,473,1007,chemical_import
Dyes and Pigments,Solubilised Vat Dyes,201617,337,756,chemical_import
Dyes and Pigments,Solubilised Vat Dyes,201718,319,764,chemical_import
