month,fiscal_year,price_usd
April,2004-05,32.37
April,2005-06,49.47
April,2006-07,67.15
April,2007-08,65.52
April,2008-09,105.77
April,2009-10,50.14
April,2010-11,84.13
April,2011-12,118.79
May,2004-05,36.08
May,2005-06,47.02
May,2006-07,67.29
May,2007-08,65.74
May,2008-09,120.91
May,2009-10,58.0
May,2010-11,76.11
May,2011-12,110.7
June,2004-05,34.23
June,2005-06,52.75
June,2006-07,66.8
June,2007-08,68.19
June,2008-09,129.72
June,2009-10,69.12
June,2010-11,74.36
June,2011-12,109.99
July,2004-05,36.35
July,2005-06,55.05
July,2006-07,71.36
July,2007-08,72.69
July,2008-09,132.47
July,2009-10,64.83
July,2010-11,73.54
July,2011-12,112.53
August,2004-05,40.53
August,2005-06,60.05
August,2006-07,70.84
August,2007-08,69.03
August,2008-09,113.05
August,2009-10,71.98
August,2010-11,75.13
August,2011-12,106.94
September,2004-05,39.15
September,2005-06,59.74
September,2006-07,61.04
September,2007-08,74.83
September,2008-09,96.81
September,2009-10,67.7
September,2010-11,76.09
September,2011-12,108.79
October,2004-05,43.88
October,2005-06,56.28
October,2006-07,57.27
October,2007-08,79.33
October,2008-09,69.12
October,2009-10,73.07
October,2010-11,81.11
October,2011-12,106.11
November,2004-05,38.82
November,2005-06,53.14
November,2006-07,57.8
November,2007-08,89.11
November,2008-09,50.91
November,2009-10,77.39
November,2010-11,84.26
November,2011-12,109.62
December,2004-05,36.82
December,2005-06,55.05
December,2006-07,60.35
December,2007-08,87.92
December,2008-09,40.61
December,2009-10,75.02
December,2010-11,89.78
December,2011-12,107.2
January,2004-05,40.96
January,2005-06,60.54
January,2006-07,52.53
January,2007-08,89.52
January,2008-09,44.02
January,2009-10,76.61
January,2010-11,93.87
January,2011-12,110.47
February,2004-05,42.67
February,2005-06,58.95
February,2006-07,56.53
February,2007-08,92.37
February,2008-09,43.22
February,2009-10,73.65
February,2010-11,101.16
February,2011-12,117.67
March,2004-05,49.27
March,2005-06,60.01
March,2006-07,60.25
March,2007-08,99.76
March,2008-09,46.02
March,2009-10,78.02
March,2010-11,110.72
March,2011-12,123.61
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
NA,2004-05,0.0
NA,2005-06,0.0
NA,2006-07,0.0
NA,2007-08,0.0
NA,2008-09,0.0
NA,2009-10,0.0
NA,2010-11,0.0
NA,2011-12,0.0
