date,fdi_inflows
2000-01-01,3584217307.18755
2001-01-01,5128093561.62688
2002-01-01,5208967106.27894
2003-01-01,3681984671.43428
2004-01-01,5429250989.85717
2005-01-01,7269407225.61438
2006-01-01,20029119267.1396
2007-01-01,25227740886.6819
2008-01-01,43406277075.8108
2009-01-01,35581372929.6641
2010-01-01,27396885033.7838
2011-01-01,36498654597.8589
2012-01-01,23995685014.2141
2013-01-01,28153031270.3202
2014-01-01,34576643694.1382
2015-01-01,44009492129.5319
2016-01-01,44458571545.798
2017-01-01,39966091358.7384
2018-01-01,42117450737.2644
2019-01-01,50610647353.5911
2020-01-01,64362364994.3754
2021-01-01,44727277562.881
2022-01-01,49940258404.2659
2023-01-01,28086193530.3979
2024-01-01,27139853378.1402
