category,product,fiscal_year,quantity,value,metric_type
Aromatics,Benzene,201516,914875,371288,petrochemical_export
Aromatics,Benzene,201617,789425,366822,petrochemical_export
Aromatics,Benzene,201718,1286323,662408,petrochemical_export
Aromatics,Benzene,201819,1651123,822052,petrochemical_export
Aromatics,Benzene,201920,1408477,635303,petrochemical_export
Aromatics,Benzene,202021,1507626,559554,petrochemical_export
Aromatics,Benzene,202122,1922951,1388168,petrochemical_export
Aromatics,Benzene,202223,1451638,1156971,petrochemical_export
Aromatics,Benzene,202324,1473996,1093052,petrochemical_export
Aromatics,Benzene,202425,1461230,1188862,petrochemical_export
Aromatics,Mixed xylene,201516,8,49,petrochemical_export
Aromatics,Mixed xylene,201617,66,110,petrochemical_export
Aromatics,Mixed xylene,201718,418,278,petrochemical_export
Aromatics,Mixed xylene,201819,981,668,petrochemical_export
Aromatics,Mixed xylene,201920,410,297,petrochemical_export
Aromatics,Mixed xylene,202021,535,330,petrochemical_export
Aromatics,Mixed xylene,202122,46,57,petrochemical_export
Aromatics,Mixed xylene,202223,127,167,petrochemical_export
Aromatics,Mixed xylene,202324,254,302,petrochemical_export
Aromatics,Mixed xylene,202425,135,186,petrochemical_export
Aromatics,Ortho-xylene,201516,234386,107621,petrochemical_export
Aromatics,Ortho-xylene,201617,154347,74761,petrochemical_export
Aromatics,Ortho-xylene,201718,185675,86881,petrochemical_export
Aromatics,Ortho-xylene,201819,225703,122734,petrochemical_export
Aromatics,Ortho-xylene,201920,177267,100950,petrochemical_export
Aromatics,Ortho-xylene,202021,309550,127934,petrochemical_export
Aromatics,Ortho-xylene,202122,234328,148221,petrochemical_export
Aromatics,Ortho-xylene,202223,121303,108059,petrochemical_export
Aromatics,Ortho-xylene,202324,11698,11119,petrochemical_export
Aromatics,Ortho-xylene,202425,2269,2029,petrochemical_export
Aromatics,Paraxylene,201516,878606,460535,petrochemical_export
Aromatics,Paraxylene,201617,799492,439679,petrochemical_export
Aromatics,Paraxylene,201718,1826522,1002659,petrochemical_export
Aromatics,Paraxylene,201819,2659503,1925344,petrochemical_export
Aromatics,Paraxylene,201920,2677199,1595294,petrochemical_export
Aromatics,Paraxylene,202021,2825251,1157076,petrochemical_export
Aromatics,Paraxylene,202122,2259427,1447757,petrochemical_export
Aromatics,Paraxylene,202223,1072227,852213,petrochemical_export
Aromatics,Paraxylene,202324,259632,215210,petrochemical_export
Aromatics,Paraxylene,202425,213763,171633,petrochemical_export
Aromatics,Toluene,201516,5268,3314,petrochemical_export
Aromatics,Toluene,201617,5843,3764,petrochemical_export
Aromatics,Toluene,201718,4103,2772,petrochemical_export
Aromatics,Toluene,201819,13601,9501,petrochemical_export
Aromatics,Toluene,201920,8124,5564,petrochemical_export
Aromatics,Toluene,202021,17834,9791,petrochemical_export
Aromatics,Toluene,202122,17804,13832,petrochemical_export
Aromatics,Toluene,202223,14714,15295,petrochemical_export
Aromatics,Toluene,202324,29372,26908,petrochemical_export
Aromatics,Toluene,202425,19793,18639,petrochemical_export
Fibre Intermediates,Acrylonitrile,201516,2323,2132,petrochemical_export
Fibre Intermediates,Acrylonitrile,201617,6,39,petrochemical_export
Fibre Intermediates,Acrylonitrile,201718,1514,1900,petrochemical_export
Fibre Intermediates,Acrylonitrile,201819,1872,3059,petrochemical_export
Fibre Intermediates,Acrylonitrile,201920,2988,3262,petrochemical_export
Fibre Intermediates,Acrylonitrile,202021,8533,8178,petrochemical_export
Fibre Intermediates,Acrylonitrile,202122,1956,3401,petrochemical_export
Fibre Intermediates,Acrylonitrile,202223,12005,15568,petrochemical_export
Fibre Intermediates,Acrylonitrile,202324,4013,4241,petrochemical_export
Fibre Intermediates,Acrylonitrile,202425,7021,7588,petrochemical_export
Fibre Intermediates,Caprolactum,201516,0,8,petrochemical_export
Fibre Intermediates,Caprolactum,201617,1010,867,petrochemical_export
Fibre Intermediates,Caprolactum,201718,53,93,petrochemical_export
Fibre Intermediates,Caprolactum,201819,77,129,petrochemical_export
Fibre Intermediates,Caprolactum,201920,258,327,petrochemical_export
Fibre Intermediates,Caprolactum,202021,6225,4672,petrochemical_export
Fibre Intermediates,Caprolactum,202122,25,554,petrochemical_export
Fibre Intermediates,Caprolactum,202223,62,130,petrochemical_export
Fibre Intermediates,Caprolactum,202324,109,185,petrochemical_export
Fibre Intermediates,Caprolactum,202425,173,543,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,201516,1,1,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,201617,1,1,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,201718,0,0,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,201819,1,2,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,201920,0,1,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,202021,0,0,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,202122,0,0,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,202223,58,113,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,202324,17,29,petrochemical_export
Fibre Intermediates,Dimethyl Terephthalate,202425,70,63,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,201516,72239,52081,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,201617,62199,45932,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,201718,137462,90499,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,201819,292583,175325,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,201920,151301,81361,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,202021,325429,105684,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,202122,71204,48936,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,202223,39649,37248,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,202324,29635,29487,petrochemical_export
Fibre Intermediates,Mono Ehylene Glycol,202425,26710,30142,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,201516,172977,67172,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,201617,259880,106735,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,201718,212329,88577,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,201819,162422,97404,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,201920,79825,38661,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,202021,134978,44395,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,202122,54397,33649,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,202223,4439,7745,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,202324,1987,4282,petrochemical_export
Fibre Intermediates,Purified Terephthalic Acid,202425,2945,5098,petrochemical_export
Olefins,Butadiene,201516,129808,66961,petrochemical_export
Olefins,Butadiene,201617,106838,97268,petrochemical_export
Olefins,Butadiene,201718,103426,73371,petrochemical_export
Olefins,Butadiene,201819,136191,113889,petrochemical_export
Olefins,Butadiene,201920,174252,103916,petrochemical_export
Olefins,Butadiene,202021,166809,72272,petrochemical_export
Olefins,Butadiene,202122,144095,89886,petrochemical_export
Olefins,Butadiene,202223,121316,86424,petrochemical_export
Olefins,Butadiene,202324,153080,101981,petrochemical_export
Olefins,Butadiene,202425,171456,179840,petrochemical_export
Olefins,Ethylene,201516,5119,3789,petrochemical_export
Olefins,Ethylene,201617,27,23,petrochemical_export
Olefins,Ethylene,201718,136426,97327,petrochemical_export
Olefins,Ethylene,201819,193233,140672,petrochemical_export
Olefins,Ethylene,201920,152230,79955,petrochemical_export
Olefins,Ethylene,202021,102895,57712,petrochemical_export
Olefins,Ethylene,202122,111502,83997,petrochemical_export
Olefins,Ethylene,202223,40432,30837,petrochemical_export
Olefins,Ethylene,202324,36026,25578,petrochemical_export
Olefins,Ethylene,202425,16888,12449,petrochemical_export
Olefins,Propylene,201516,14462,5305,petrochemical_export
Olefins,Propylene,201617,10500,4451,petrochemical_export
Olefins,Propylene,201718,20745,9106,petrochemical_export
Olefins,Propylene,201819,39290,22140,petrochemical_export
Olefins,Propylene,201920,9658,4229,petrochemical_export
Olefins,Propylene,202021,15284,6118,petrochemical_export
Olefins,Propylene,202122,0,0,petrochemical_export
Olefins,Propylene,202223,0,1,petrochemical_export
Olefins,Propylene,202324,0,0,petrochemical_export
Olefins,Propylene,202425,0,2,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,201516,746,654,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,201617,2055,1437,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,201718,2636,1701,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,201819,3175,2781,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,201920,46,54,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,202021,1408,1412,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,202122,3463,5010,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,202223,754,1104,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,202324,545,647,petrochemical_export
Other Petro-based Chemicals,2-ethyl Hexanol,202425,102,404,petrochemical_export
Other Petro-based Chemicals,Butanol,201516,195,162,petrochemical_export
Other Petro-based Chemicals,Butanol,201617,2292,1189,petrochemical_export
Other Petro-based Chemicals,Butanol,201718,863,703,petrochemical_export
Other Petro-based Chemicals,Butanol,201819,452,655,petrochemical_export
Other Petro-based Chemicals,Butanol,201920,282,287,petrochemical_export
Other Petro-based Chemicals,Butanol,202021,1032,1288,petrochemical_export
Other Petro-based Chemicals,Butanol,202122,577,887,petrochemical_export
Other Petro-based Chemicals,Butanol,202223,627,781,petrochemical_export
Other Petro-based Chemicals,Butanol,202324,3285,3550,petrochemical_export
Other Petro-based Chemicals,Butanol,202425,4325,4424,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,201516,6,81,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,201617,8,30,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,201718,1,18,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,201819,1,15,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,201920,0,0,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,202021,9,39,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,202122,0,2,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,202223,0,0,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,202324,0,0,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Butyrate,202425,0,0,petrochemical_export
Other Petro-based Chemicals,Cellulose Acetate Sheet,201516,34,116,petrochemical_export
