category,product,fiscal_year,quantity,value,metric_type
Alkali Chemicals,Caustic Soda,201516,82144,23807,chemical_export
Alkali Chemicals,Caustic Soda,201617,84809,27773,chemical_export
Alkali Chemicals,Caustic Soda,201718,159630,66829,chemical_export
Alkali Chemicals,Caustic Soda,201819,172165,71663,chemical_export
Alkali Chemicals,Caustic Soda,201920,187494,54532,chemical_export
Alkali Chemicals,Caustic Soda,202021,275374,60246,chemical_export
Alkali Chemicals,Caustic Soda,202122,343042,131967,chemical_export
Alkali Chemicals,Caustic Soda,202223,458181,242907,chemical_export
Alkali Chemicals,Caustic Soda,202324,465257,169586,chemical_export
Alkali Chemicals,Caustic Soda,202425,562644,226956,chemical_export
Alkali Chemicals,Liquid Chlorine,201516,5987,1476,chemical_export
Alkali Chemicals,Liquid Chlorine,201617,5058,1025,chemical_export
Alkali Chemicals,Liquid Chlorine,201718,3739,674,chemical_export
Alkali Chemicals,Liquid Chlorine,201819,4699,979,chemical_export
Alkali Chemicals,Liquid Chlorine,201920,4216,1091,chemical_export
Alkali Chemicals,Liquid Chlorine,202021,3778,1339,chemical_export
Alkali Chemicals,Liquid Chlorine,202122,4290,1455,chemical_export
Alkali Chemicals,Liquid Chlorine,202223,5687,2051,chemical_export
Alkali Chemicals,Liquid Chlorine,202324,5644,1978,chemical_export
Alkali Chemicals,Liquid Chlorine,202425,4994,1995,chemical_export
Alkali Chemicals,Soda ASH,201516,18613,3927,chemical_export
Alkali Chemicals,Soda ASH,201617,64377,10793,chemical_export
Alkali Chemicals,Soda ASH,201718,110087,19377,chemical_export
Alkali Chemicals,Soda ASH,201819,62457,15202,chemical_export
Alkali Chemicals,Soda ASH,201920,137749,27137,chemical_export
Alkali Chemicals,Soda ASH,202021,149721,23725,chemical_export
Alkali Chemicals,Soda ASH,202122,250639,53739,chemical_export
Alkali Chemicals,Soda ASH,202223,203910,69376,chemical_export
Alkali Chemicals,Soda ASH,202324,422211,103115,chemical_export
Alkali Chemicals,Soda ASH,202425,295230,64909,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201516,3559,17300,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201617,4434,19689,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201718,5098,21655,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201819,5103,26145,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),201920,5601,28666,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202021,5892,29584,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202122,6996,40191,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202223,6155,35428,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202324,7468,37896,chemical_export
Dyes and Pigments,Acid Direct Dyes(Other Than Azo),202425,8046,39468,chemical_export
Dyes and Pigments,Azo Dyes,201516,55327,161970,chemical_export
Dyes and Pigments,Azo Dyes,201617,60390,162456,chemical_export
Dyes and Pigments,Azo Dyes,201718,69996,181785,chemical_export
Dyes and Pigments,Azo Dyes,201819,72999,225224,chemical_export
Dyes and Pigments,Azo Dyes,201920,68352,210313,chemical_export
Dyes and Pigments,Azo Dyes,202021,64125,179167,chemical_export
Dyes and Pigments,Azo Dyes,202122,76648,246547,chemical_export
Dyes and Pigments,Azo Dyes,202223,62120,223050,chemical_export
Dyes and Pigments,Azo Dyes,202324,63796,196285,chemical_export
Dyes and Pigments,Azo Dyes,202425,66342,210433,chemical_export
Dyes and Pigments,Basic Dyes,201516,8173,23896,chemical_export
Dyes and Pigments,Basic Dyes,201617,9229,26186,chemical_export
Dyes and Pigments,Basic Dyes,201718,10757,32222,chemical_export
Dyes and Pigments,Basic Dyes,201819,12017,44585,chemical_export
Dyes and Pigments,Basic Dyes,201920,12730,48887,chemical_export
Dyes and Pigments,Basic Dyes,202021,13585,51140,chemical_export
Dyes and Pigments,Basic Dyes,202122,13913,60670,chemical_export
Dyes and Pigments,Basic Dyes,202223,13693,60434,chemical_export
Dyes and Pigments,Basic Dyes,202324,16838,59039,chemical_export
Dyes and Pigments,Basic Dyes,202425,18314,66952,chemical_export
Dyes and Pigments,Disperse Dyes,201516,13117,52818,chemical_export
Dyes and Pigments,Disperse Dyes,201617,16078,59912,chemical_export
Dyes and Pigments,Disperse Dyes,201718,14460,56914,chemical_export
Dyes and Pigments,Disperse Dyes,201819,20552,107647,chemical_export
Dyes and Pigments,Disperse Dyes,201920,23362,133160,chemical_export
Dyes and Pigments,Disperse Dyes,202021,18521,93517,chemical_export
Dyes and Pigments,Disperse Dyes,202122,24336,120607,chemical_export
Dyes and Pigments,Disperse Dyes,202223,16913,89863,chemical_export
Dyes and Pigments,Disperse Dyes,202324,15042,66641,chemical_export
Dyes and Pigments,Disperse Dyes,202425,17129,69917,chemical_export
Dyes and Pigments,Fast Colour Bases,201516,2262,11868,chemical_export
Dyes and Pigments,Fast Colour Bases,201617,2174,15766,chemical_export
Dyes and Pigments,Fast Colour Bases,201718,2042,9726,chemical_export
Dyes and Pigments,Fast Colour Bases,201819,2652,14987,chemical_export
Dyes and Pigments,Fast Colour Bases,201920,5364,46929,chemical_export
Dyes and Pigments,Fast Colour Bases,202021,3667,21816,chemical_export
Dyes and Pigments,Fast Colour Bases,202122,4008,28273,chemical_export
Dyes and Pigments,Fast Colour Bases,202223,2331,17799,chemical_export
Dyes and Pigments,Fast Colour Bases,202324,2223,11108,chemical_export
Dyes and Pigments,Fast Colour Bases,202425,2638,13981,chemical_export
Dyes and Pigments,Food Colours,201516,27101,79537,chemical_export
Dyes and Pigments,Food Colours,201617,28359,79492,chemical_export
Dyes and Pigments,Food Colours,201718,31110,87129,chemical_export
Dyes and Pigments,Food Colours,201819,29007,107344,chemical_export
Dyes and Pigments,Food Colours,201920,25347,107786,chemical_export
Dyes and Pigments,Food Colours,202021,30271,118294,chemical_export
Dyes and Pigments,Food Colours,202122,35087,143435,chemical_export
Dyes and Pigments,Food Colours,202223,30985,148750,chemical_export
Dyes and Pigments,Food Colours,202324,32417,150126,chemical_export
Dyes and Pigments,Food Colours,202425,36838,160780,chemical_export
Dyes and Pigments,Inorganic Pigments,201516,25826,25522,chemical_export
Dyes and Pigments,Inorganic Pigments,201617,27236,30609,chemical_export
Dyes and Pigments,Inorganic Pigments,201718,40345,39484,chemical_export
Dyes and Pigments,Inorganic Pigments,201819,46160,41048,chemical_export
Dyes and Pigments,Inorganic Pigments,201920,43507,40311,chemical_export
Dyes and Pigments,Inorganic Pigments,202021,48262,45768,chemical_export
Dyes and Pigments,Inorganic Pigments,202122,50868,55131,chemical_export
Dyes and Pigments,Inorganic Pigments,202223,49414,57200,chemical_export
Dyes and Pigments,Inorganic Pigments,202324,57154,66456,chemical_export
Dyes and Pigments,Inorganic Pigments,202425,47919,55864,chemical_export
