item,weight,year,month,value,date
Growth of  Natural Gas (%),NA,2012,4,-11.9,2012-04-01
Growth of  Natural Gas (%),NA,2012,5,-10.8,2012-05-01
Growth of  Natural Gas (%),NA,2012,6,-10.8,2012-06-01
Growth of  Natural Gas (%),NA,2012,7,-13.1,2012-07-01
Growth of  Natural Gas (%),NA,2012,8,-13.6,2012-08-01
Growth of  Natural Gas (%),NA,2012,9,-15.5,2012-09-01
Growth of  Natural Gas (%),NA,2012,10,-15.1,2012-10-01
Growth of  Natural Gas (%),NA,2012,11,-15.4,2012-11-01
Growth of  Natural Gas (%),NA,2012,12,-14.5,2012-12-01
Growth of  Natural Gas (%),NA,2013,1,-16.5,2013-01-01
Growth of  Natural Gas (%),NA,2013,2,-19.8,2013-02-01
Growth of  Natural Gas (%),NA,2013,3,-17.1,2013-03-01
Growth of  Natural Gas (%),NA,2013,4,-16.9,2013-04-01
Growth of  Natural Gas (%),NA,2013,5,-18.2,2013-05-01
Growth of  Natural Gas (%),NA,2013,6,-16.8,2013-06-01
Growth of  Natural Gas (%),NA,2013,7,-16.4,2013-07-01
Growth of  Natural Gas (%),NA,2013,8,-16.0,2013-08-01
Growth of  Natural Gas (%),NA,2013,9,-13.4,2013-09-01
Growth of  Natural Gas (%),NA,2013,10,-13.7,2013-10-01
Growth of  Natural Gas (%),NA,2013,11,-11.0,2013-11-01
Growth of  Natural Gas (%),NA,2013,12,-10.1,2013-12-01
Growth of  Natural Gas (%),NA,2014,1,-5.2,2014-01-01
Growth of  Natural Gas (%),NA,2014,2,-4.4,2014-02-01
Growth of  Natural Gas (%),NA,2014,3,-9.8,2014-03-01
Growth of  Natural Gas (%),NA,2014,4,-8.4,2014-04-01
Growth of  Natural Gas (%),NA,2014,5,-2.5,2014-05-01
Growth of  Natural Gas (%),NA,2014,6,-1.7,2014-06-01
Growth of  Natural Gas (%),NA,2014,7,-9.2,2014-07-01
Growth of  Natural Gas (%),NA,2014,8,-8.7,2014-08-01
Growth of  Natural Gas (%),NA,2014,9,-6.0,2014-09-01
Growth of  Natural Gas (%),NA,2014,10,-4.0,2014-10-01
Growth of  Natural Gas (%),NA,2014,11,-2.6,2014-11-01
Growth of  Natural Gas (%),NA,2014,12,-3.3,2014-12-01
Growth of  Natural Gas (%),NA,2015,1,-6.6,2015-01-01
Growth of  Natural Gas (%),NA,2015,2,-8.6,2015-02-01
