category,product,fiscal_year,quantity,value,metric_type
Aromatics,Benzene,201516,0,5,petrochemical_import
Aromatics,Benzene,201617,0,8,petrochemical_import
Aromatics,Benzene,201718,60,66,petrochemical_import
Aromatics,Benzene,201819,22264,12820,petrochemical_import
Aromatics,Benzene,201920,11153,5330,petrochemical_import
Aromatics,Benzene,202021,19212,8254,petrochemical_import
Aromatics,Benzene,202122,4195,2724,petrochemical_import
Aromatics,Benzene,202223,11073,7764,petrochemical_import
Aromatics,Benzene,202324,4861,2679,petrochemical_import
Aromatics,Benzene,202425,0,28,petrochemical_import
Aromatics,Mixed Xylene,201516,108,96,petrochemical_import
Aromatics,Mixed Xylene,201617,113,125,petrochemical_import
Aromatics,Mixed Xylene,201718,2424,1200,petrochemical_import
Aromatics,Mixed Xylene,201819,641,433,petrochemical_import
Aromatics,Mixed Xylene,201920,122,139,petrochemical_import
Aromatics,Mixed Xylene,202021,524,293,petrochemical_import
Aromatics,Mixed Xylene,202122,40,60,petrochemical_import
Aromatics,Mixed Xylene,202223,2077,1865,petrochemical_import
Aromatics,Mixed Xylene,202324,22,53,petrochemical_import
Aromatics,Mixed Xylene,202425,57,92,petrochemical_import
Aromatics,Ortho-xylene,201516,34502,16871,petrochemical_import
Aromatics,Ortho-xylene,201617,26275,14609,petrochemical_import
Aromatics,Ortho-xylene,201718,15730,8337,petrochemical_import
Aromatics,Ortho-xylene,201819,22974,15464,petrochemical_import
Aromatics,Ortho-xylene,201920,16382,9962,petrochemical_import
Aromatics,Ortho-xylene,202021,25136,11309,petrochemical_import
Aromatics,Ortho-xylene,202122,16390,11452,petrochemical_import
Aromatics,Ortho-xylene,202223,50955,49532,petrochemical_import
Aromatics,Ortho-xylene,202324,64537,59079,petrochemical_import
Aromatics,Ortho-xylene,202425,243730,222732,petrochemical_import
Aromatics,Paraxylene,201516,826053,452311,petrochemical_import
Aromatics,Paraxylene,201617,1195515,667002,petrochemical_import
Aromatics,Paraxylene,201718,888660,504091,petrochemical_import
Aromatics,Paraxylene,201819,836490,646003,petrochemical_import
Aromatics,Paraxylene,201920,835381,519284,petrochemical_import
Aromatics,Paraxylene,202021,653779,283883,petrochemical_import
Aromatics,Paraxylene,202122,603417,412965,petrochemical_import
Aromatics,Paraxylene,202223,597100,549727,petrochemical_import
Aromatics,Paraxylene,202324,844939,762454,petrochemical_import
Aromatics,Paraxylene,202425,964809,796541,petrochemical_import
Aromatics,Toluene,201516,343662,163765,petrochemical_import
Aromatics,Toluene,201617,392749,183101,petrochemical_import
Aromatics,Toluene,201718,414144,194854,petrochemical_import
Aromatics,Toluene,201819,438055,235492,petrochemical_import
Aromatics,Toluene,201920,464497,238119,petrochemical_import
Aromatics,Toluene,202021,601835,238357,petrochemical_import
Aromatics,Toluene,202122,500323,315330,petrochemical_import
Aromatics,Toluene,202223,584524,514839,petrochemical_import
Aromatics,Toluene,202324,594852,503148,petrochemical_import
Aromatics,Toluene,202425,586829,466936,petrochemical_import
Fibre Intermediates,Acrylonitrile,201516,160202,121692,petrochemical_import
Fibre Intermediates,Acrylonitrile,201617,139709,108192,petrochemical_import
Fibre Intermediates,Acrylonitrile,201718,159778,172707,petrochemical_import
Fibre Intermediates,Acrylonitrile,201819,182234,244043,petrochemical_import
Fibre Intermediates,Acrylonitrile,201920,175867,200713,petrochemical_import
Fibre Intermediates,Acrylonitrile,202021,135230,121075,petrochemical_import
Fibre Intermediates,Acrylonitrile,202122,175763,298158,petrochemical_import
Fibre Intermediates,Acrylonitrile,202223,233759,302358,petrochemical_import
Fibre Intermediates,Acrylonitrile,202324,180891,183030,petrochemical_import
